task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
137	2d/0aa56e	360814	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K42MK)	CACHED	0	2025-06-12 11:14:56.233	3.8s	2s	368.0%	510.2 MB	28.5 GB	1.2 GB	1.1 GB
138	98/2b328c	323708	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K43MK)	CACHED	0	2025-06-12 11:13:03.589	991ms	16ms	139.7%	3 MB	3.9 MB	131.4 KB	910 B
139	d9/d83a11	344248	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K43MK)	CACHED	0	2025-06-12 11:14:07.541	8.2s	6s	204.9%	1.3 GB	6.5 GB	158 MB	6.4 MB
140	19/d1a2c0	342913	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K43MK)	CACHED	0	2025-06-12 11:14:04.167	3.4s	2s	460.9%	499 MB	28.5 GB	903.5 MB	872.4 MB
141	c7/5a5c5b	363490	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K43MK)	CACHED	0	2025-06-12 11:15:08.721	3.4s	1s	334.0%	506.8 MB	28.5 GB	844 MB	835.9 MB
142	b0/e2bf84	325501	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K44MK)	CACHED	0	2025-06-12 11:13:07.380	962ms	19ms	126.4%	2.9 MB	3.9 MB	131.4 KB	910 B
143	dc/7f391e	347530	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K44MK)	CACHED	0	2025-06-12 11:14:16.412	3.4s	2s	442.5%	496.4 MB	28.5 GB	917 MB	887.2 MB
144	2a/fb2f1d	347131	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K44MK)	CACHED	0	2025-06-12 11:14:15.714	8.2s	6s	222.3%	1.3 GB	6.7 GB	161.1 MB	6.4 MB
145	db/c75542	369736	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K44MK)	CACHED	0	2025-06-12 11:15:23.754	3.6s	2s	352.0%	508 MB	28.5 GB	859.7 MB	851.7 MB
146	de/f8b3b0	326777	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K46MK)	CACHED	0	2025-06-12 11:13:11.352	1.6s	19ms	100.0%	3.1 MB	3.9 MB	131.4 KB	910 B
147	fb/a4e138	348870	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K46MK)	CACHED	0	2025-06-12 11:14:19.864	9.2s	7s	216.7%	1.3 GB	6.7 GB	200.6 MB	6.4 MB
148	9c/3c71f9	350215	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K46MK)	CACHED	0	2025-06-12 11:14:23.946	3.7s	3s	467.2%	499.8 MB	28.5 GB	1.1 GB	1.1 GB
149	73/715612	373578	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K46MK)	CACHED	0	2025-06-12 11:15:40.190	3.9s	2s	377.2%	511.3 MB	28.5 GB	1.1 GB	1.1 GB
