task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	bf/3916df	1152856	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K10MK)	COMPLETED	0	2025-06-11 16:51:36.416	1s	19ms	97.1%	2.8 MB	3.9 MB	130.6 KB	904 B
5	05/801cb2	1154417	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K11MK)	COMPLETED	0	2025-06-11 16:51:42.204	979ms	16ms	115.5%	2.9 MB	3.9 MB	130.6 KB	905 B
3	96/723537	1153653	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K10MK)	COMPLETED	0	2025-06-11 16:51:40.039	4.8s	3s	334.8%	399.7 MB	28.4 GB	1.2 GB	860.4 MB
6	11/e6239e	1155467	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K11MK)	COMPLETED	0	2025-06-11 16:51:44.868	4.6s	4s	349.7%	407.1 MB	28.4 GB	1.1 GB	799.6 MB
10	cb/9aceab	1157929	NFCORE_AMPLISEQ:AMPLISEQ:RENAME_RAW_DATA_FILES (K12MK)	COMPLETED	0	2025-06-11 16:51:50.490	1s	16ms	109.6%	3 MB	3.9 MB	130.6 KB	905 B
4	ba/cd3dda	1153348	NFCORE_AMPLISEQ:AMPLISEQ:FASTQC (K10MK)	COMPLETED	0	2025-06-11 16:51:38.517	13.9s	12s	205.1%	1.4 GB	6.5 GB	362 MB	6.5 MB
8	22/2dda02	1158805	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K10MK)	COMPLETED	0	2025-06-11 16:51:52.450	1.8s	1s	95.3%	12.4 MB	19.9 MB	8 MB	29.2 KB
9	be/56adc7	1159356	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_DOUBLEPRIMER (K11MK)	COMPLETED	0	2025-06-11 16:51:54.292	1.9s	1s	95.1%	12.2 MB	19.9 MB	8.1 MB	93.3 KB
1	9c/9f6d35	1159376	NFCORE_AMPLISEQ:AMPLISEQ:FORMAT_TAXONOMY	COMPLETED	0	2025-06-11 16:51:54.301	6.5s	4.4s	100.1%	4.9 MB	9.8 MB	134.6 MB	652.4 MB
11	f4/382dde	1160312	NFCORE_AMPLISEQ:AMPLISEQ:CUTADAPT_WORKFLOW:CUTADAPT_BASIC (K12MK)	COMPLETED	0	2025-06-11 16:51:56.203	4.8s	3s	338.9%	410.2 MB	28.5 GB	1.2 GB	888.7 MB
